ref. https://doi.org/10.1016/j.jct.2011.03.011
No.	Substance	Antoine range		Tc	Pc	ω	Wagner equation constants				Experimental range							R
174	2-Chlorobutane	0.49	0.7	520.6	3680	0.267	−7.3829	1.7089	−2.0919	−2.2534	0.17	2.55	 	0.53	6.57	0.6	38.01	c, c
175	Propylmethaneate	0.5	0.7	538	4060	0.32	−7.9885	2.6846	−3.2095	−6.0119	 	 	 	 	 	 	 	c, c
176	Ethylethaneate	0.51	0.71	523.2	3870	0.361	−8.0703	2.3901	−3.2702	−4.7122	0.15	2.33	 	0.55	7.84	0.67	101.33	h, c
177	Methylpropaneate	0.55	0.66	530.6	4000	0.349	−8.1173	2.6821	−3.3125	−5.502	0.08	0.6	 	0.55	9.2	0.66	101.33	h, c
178	Tetrahydrofurane	0.47	0.67	540.5	5190	0.217	−7.1314	1.7021	−2.0979	−3.0073	0.02	3.36	 	0.55	19.92	0.69	270.11	c, c
179	Butanone	0.49	0.7	536.7	4207	0.322	−7.6642	1.7175	−2.0991	−4.5861	0.09	0.3	 	0.59	26.57	0.67	133.35	h, c
180	2-Methylpropene	0.47	0.68	417.9	4000	0.199	−7.4186	2.265	−1.4664	−4.5502	0.7	2.05	 	0.52	8.72	0.65	131.7	c, c
181	Z-2-Butene	0.47	0.68	435.5	4210	0.203	−7.0482	1.7145	−2.0246	−2.6078	0.14	1.77	 	0.47	1.75	0.68	198.63	c, c
182	T2Butene	0.47	0.68	428.6	4100	0.218	−7.2033	1.6929	−1.4842	−3.1109	0.14	3.14	 	0.47	1.99	0.64	101.72	c, c
183	1-Butene	0.47	0.68	419.5	4020	0.194	−7.026	1.5745	−1.3652	−3.6129	1.07	1.28	 	0.51	6.73	0.64	111.15	c, c
184	Cyclobutane	0.46	0.66	460	4990	0.185	−7.1117	1.848	−1.5296	−2.5773	0.13	3.65	 	0.46	2.5	0.62	101.33	c, c
185	1,3-Butadiene	0.47	0.68	425	4320	0.195	−7.1362	1.9206	−1.8857	−2.9468	1.21	1.06	 	0.47	1.95	0.59	43.66	c, c
186	1-Butino	0.48	0.68	440	4600	0.245	−7.204	1.7342	−2.5558	−2.3414	0.23	3.77	 	0.44	0.52	0.64	107.35	c, c
187	Tiophene	0.46	0.66	580	5660	0.196	−6.9227	1.6414	−2.0084	−3.2829	0.06	1.01	 	0.54	19.92	0.68	270.11	c, c
188	Furane	0.47	0.66	490.2	5300	0.209	−6.682	1.2525	−2.2048	−2.9118	0.2	2.81	 	0.56	31.16	0.68	270.11	h, c
189	2-Propanamine	0.49	0.69	472.2	4550	0.277	−7.3424	1.9141	−3.1356	−4.499	0.03	2.28	 	0.59	31.16	0.71	270.11	m, c
190	1-Propanamine	0.52	0.68	499	4740	0.283	−7.1956	1.7977	−3.2762	−4.5562	0.06	2.55	 	0.59	38.55	0.7	270.11	m, c
191	Methylethylsulfide	0.48	0.68	533	4260	0.216	−6.8314	1.3816	−2.4293	−2.6468	0.09	2.07	 	0.56	19.92	0.7	270.11	c, c
192	Methylethylether	0.64	0.99	437.9	4380	0.236	−6.402	2.0885	−7.5716	−5.2852	 	 	 	 	 	 	 	h, c
193	2-Propanol	0.55	0.73	508.3	4764	0.665	−8.7376	2.1624	−8.7089	4.7793	0.01	1.58	0.03	0.64	26.54	0.71	133.22	f, c
194	1-Propanol	0.61	0.7	536.8	5169	0.629	−8.6097	2.139	−7.823	2.6476	0.01	2.13	0.02	0.62	20.44	0.7	133.26	f, c
195	Propane	0.46	0.67	369.83	4247.66	0.1524	−6.7965	1.562	−1.4417	−2.5601	0.29	1.25	0.39	0.45	1.55	0.63	103.02	c, c
196	1-Chloropropane	0.47	0.68	503.4	4570	0.235	−7.121	1.6713	−2.0933	−2.9758	0.25	3.07	 	0.49	3.84	0.64	103.46	d, o
197	Ethylmethaneate	0.49	0.69	508.5	4740	0.282	−7.3538	1.5835	−2.1827	−5.1777	0.79	2.57	 	0.54	11.87	0.64	101.33	c, c
198	Methylethaneate	0.49	0.69	506.8	4690	0.326	−7.6982	1.9081	−2.5638	−4.3132	0.06	0.67	 	0.54	9.2	0.65	101.33	c, c
199	Propanone	0.49	0.69	508.1	4702	0.306527	−7.7307	2.0309	−2.3274	−3.3578	0.11	1.92	0.05	0.51	4.52	0.65	101.33	a, a
200	Cyclopropane	0.44	0.65	398	5540	0.13	−6.6473	1.5055	−1.3988	−2.0559	0.38	1.34	 	0.46	3.5	0.61	104.74	b, c
201	Propene	0.45	0.66	365.57	4664.6	0.1408	−6.791	1.7388	−1.674	−2.3269	0.34	2.46	 	0.45	2.13	0.62	103.98	a, a
202	1,2-Propadiene	0.45	0.65	394	5250	0.122	−10.1759	7.5371	−0.8932	−16.9356	 	 	 	 	 	 	 	c, c
203	Propyne	0.46	0.66	402.4	5630	0.214	−6.9909	1.4505	−1.944	−2.3672	2.09	3.21	 	0.46	1.99	0.63	124.13	c, c
204	Ethyl amine	0.48	0.67	456	5600	0.276	−5.3845	−2.9847	1.3283	−5.5799	 	 	 	 	 	 	 	m, c
205	Dimethylsulfide	0.5	0.58	503	5530	0.191	−6.6241	1.0694	−1.9717	−0.907	0.04	1.81	 	0.5	6.99	0.58	53.17	c, c
206	Ethanethiol	0.46	0.66	499	5490	0.191	−6.9219	1.5512	−1.7659	−3.0508	0.04	0.76	 	0.55	25.01	0.68	270.11	c, c
207	Dimethylether	0.46	0.66	400.2	5340	0.2	−6.9798	1.523	−1.6409	−2.7943	0.03	0.35	0.84	0.49	4.68	0.62	101.33	h, c
208	Ethanol	0.54	0.72	514	6137	0.649	−8.6338	1.1072	−4.913	1.7503	 	 	 	 	 	 	 	f, c
209	Ethane	0.44	0.65	305.33	4871.8	0.0993	−6.4641	1.4367	−1.2829	−1.618	 	 	 	 	 	 	 	a, a
210	Fluoroethane	0.46	0.67	375.3	5040	0.217	−7.0972	1.5388	−1.6906	−1.7161	 	 	 	 	 	 	 	d, o
211	Chloroethane	0.46	0.66	460	5200	0.191	−6.9221	1.5408	−1.7509	−2.6914	0.1	0.84	 	0.47	2.99	0.62	102.24	d, o
212	Bromoethane	0.46	0.66	504	5800	0.229	−7.5604	2.3345	−1.4804	−3.8795	0.22	5	 	0.6	70.1	0.69	312.96	d, o
213	Methylformate	0.47	0.67	487.2	6000	0.257	−7.2201	1.6227	−2.3597	−2.9905	3.29	2.39	 	0.6	70.1	0.63	102.35	c, c
214	Ethanoicacid	0.5	0.7	590.7	5780	0.445	−9.1159	2.7799	−1.8527	−4.707	0.3	5.67	0.24	0.51	2.67	0.68	130.67	h, c
215	1,1-Difluoroethane	0.49	0.69	386.43	4520	0.276	−7.4167	1.7069	−2.1109	−2.8272	 	 	 	 	 	 	 	d, c
216	1,2-Dichloroethane	0.43	0.66	561.5	5380	0.278	−5.8754	−2.1244	1.2417	−2.7564	1.39	4.89	 	0.44	0.61	0.66	161.13	d, o
217	1,1-Dichloroethane	0.45	0.55	523.4	5060	0.24	−7.3612	1.8629	−1.8606	−3.228	0.17	2.82	 	0.01	234.38	0.32	290.76	d, o
218	Ethene	0.44	0.64	282.35	5041.8	0.0866	−6.3711	1.358	−1.1814	−1.9557	0.2	3.57	 	0.44	2.1	0.6	107.11	a, a
219	1,1,2-Trifluoroethane	0.49	0.68	429.8	5240	0.315	−7.8443	2.3969	−3.0163	−5.4224	 	 	 	 	 	 	 	d, c
220	1,1,1-Trifluoroethane	0.48	0.7	345.86	3768	0.259	−7.3593	1.7117	−2.0183	−2.9392	0.24	0.59	 	0.5	3.49	0.65	101.33	d, c
221	1,1-Dichloro-1-Fluoromethane	0.47	0.68	477.5	4200	0.225	−6.9297	1.2429	−1.6427	−3.4063	 	 	 	 	 	 	 	d, c
222	1-cl-1,1-dif	0.48	0.69	410.28	4050	0.231	−7.1487	1.6273	−2.0483	−2.8909	 	 	 	 	 	 	 	d, c
223	1,1,2,2-TetrafFluoromethane	0.49	0.69	391.74	4640	0.293	−7.7422	2.2068	−2.321	−4.0514	 	 	 	 	 	 	 	c, c
224	1,1,1,2-TetrafFluoromethane	0.5	0.7	374.18	4055	0.326	−7.6736	1.8657	−2.7378	−3.2615	 	 	 	 	 	 	 	d, c
225	Etyne	0.62	0.65	308.3	6114	0.189	−6.9473	1.5553	−1.7025	−2.4692	0.15	0.71	0.12	0.62	128.2	0.67	243.51	c, c
226	Pentafluoroethane	0.5	0.71	339.4	3630	0.305	−7.5508	1.809	−2.5708	−3.1033	 	 	 	 	 	 	 	d, c
227	2,2-Dichloro-1,1,1-tetrafFluoromethane	0.49	0.7	456.85	3670	0.282	−7.4367	1.7964	−2.5047	−3.2819	 	 	 	 	 	 	 	d, c
228	1-Chloro-1,2,2,2-TetrafFluoromethane	0.56	0.72	395.4	3620	0.288	−7.4612	1.7997	−2.5596	−3.2255	 	 	 	 	 	 	 	d, c
229	1- Chloro-1,1,2,2-TetrafFluoromethane	0.48	0.7	400	3760	0.26	−7.0031	1.0256	−1.9518	−1.1196	 	 	 	 	 	 	 	c, c
230	Hexafluoroethane	0.61	0.67	293.02	3040	0.257	−7.2675	1.6943	−2.2157	−2.9562	0.01	0.98	 	0.61	42.11	0.67	103.17	d, c
231	Trichlorotrifluoroethane	0.49	0.7	487.21	3410	0.256	−7.2001	1.4973	−2.0307	−3.2492	0.24	0.71	 	0.51	3.76	0.72	259.71	d, c
232	1,2-Dichlorotetrafluoroethane	0.49	0.71	418.8	3255	0.246	−7.2613	1.7119	−2.2077	−3.5308	 	 	 	 	 	 	 	d, c
233	1,1-Dichlorotetrafluoroethane	0.49	0.71	418.7	3300	0.244	−7.4869	2.1915	−2.5493	−4.9412	 	 	 	 	 	 	 	d, c
234	Chloropentafluoroethane	0.49	0.71	353	3130	0.279	−7.3483	1.8566	−2.2554	−3.1709	0.28	10.34	 	0.5	3.13	0.66	101.33	d, c
235	Dibromochlorotrifluoroethane	0.49	0.7	561	3450	0.251	−7.2783	2.1152	−2.8651	−4.0669	 	 	 	 	 			d, c
236	Methanamine	0.44	0.62	430.8	7620	0.283	−7.3885	1.682	−2.6317	−3.1762	0.17	8.52		0.44	0.54	0.62	101.53	m, c
237	Methanetiol	0.44	0.63	470	7230	0.15	−6.7249	1.4671	−1.4506	−2.7156	0.1	2.56		0.47	5.48	0.7	511.84	c, c
238	Methanol	0.51	0.69	512.5	8084	0.565	−8.8719	1.7625	−3.036	−0.8654	0.05	7.75	0.06	0.56	9.82	0.7	205.65	f, c
239	Methane	0.49	0.63	190.56	4599.2	0.01142	−6.0351	1.3105	−0.6237	−1.3111								a, a
240	fluoromethane	0.45	0.66	317.4	5870	0.204	−7.1315	1.7717	−1.5828	−2.0635								d, c
241	chloromethane	0.44	0.6	416.25	6680	0.151	−6.7618	1.4746	−1.4333	−2.4436	0.24	3.44		0.44	1.71	0.67	308.64	d, c
242	difluoromethane	0.47	0.67	351.25	5783	0.278	−7.5039	1.8095	−1.9661	−2.8222	0.17	2.12		0.54	16.35	0.69	253.31	d, c
243	dichloromethane	0.46	0.66	508	6350	0.199	−7.4778	2.2675	−1.9323	−4.4924	0.47	10.23		0.6	70.53	0.62	101.33	d, o
244	trifluoromethane	0.48	0.68	299	4800	0.26	−7.3793	1.7847	−2.2437	−2.3741	0.92	0.61		0.49	2.72	0.64	102.51	d, c
245	trichloromethane	0.47	0.67	536.2	5330	0.218	−7.4064	2.2682	−1.965	−4.6719	0.42	1.48		0.49	4.52	0.62	97.34	d, o
246	dichlorofluoromethane	0.47	0.67	451.51	5190	0.207	−7.2715	2.213	−2.4399	−3.457								d, c
247	Chlorodifluoromethane	0.47	0.67	369.25	4990	0.221	−7.0588	1.5631	−1.94	−2.7492	0.69	0.46		0.62	89.22	0.64	122.32	d, c
248	Bromodifluoromethane	0.47	0.67	412	5130	0.172	−7.2929	0.8942	2.1838	−15.7671								d, c
249	Tetrafluoromethane	0.47	0.68	227.5	3680	0.177	−6.7916	1.5235	−1.9273	−1.852	1.12	1.45		0.41	0.2	0.64	106.51	d, c
250	Tetrachloromethane	0.47	0.67	556.3	4540	0.193	−6.7347	1.2812	−1.9824	−1.987	0.14	1.66		0.52	9.21	0.63	101.33	d, c
251	Trichlorofluoromethane	0.46	0.67	471.1	4407.64	0.195	−6.9597	1.5957	−1.7104	−2.7155	0.2	1.63		0.5	6.31	0.71	323.53	a, a
252	Dichlorodifluoromethane	0.46	0.68	385.1	4130	0.179	−6.8695	1.5208	−1.7311	−2.1464								a, a
253	Chlorotrifluoromethane	0.47	0.68	301.95	3880	0.175	−6.8955	1.6035	−1.6454	−2.8197								d, c
254	Dibromodifluoromethane	0.29	0.43	741.3	4530		−7.0407	1.8799	−1.922	−2.5638								c, c
255	Bromotrifluoromethane	0.46	0.68	340.1	3960	0.174	−6.8594	1.5462	−1.6056	−2.9205								d, c
256	Bromochlorodifluoromethane	0.46	0.68	426.9	4250	0.182	−7.0407	1.8799	−1.922	−2.5638								d, c
257	Argon	0.56	0.63	150.69	4863	−0.00219	−5.9325	1.2529	−0.5934	−1.4393								a, a
	Average										0.244	3.122	0.367					
